OBJECTID	Name	FIPS	Area_SqMi	Pop_Total	HH_Total	HU_Total	Pop_White	Pop_Black	Pop_Hispanic	Pop_Asian	Pop_Other	Age_Under_5	Age_5to17	Age_18to34	Age_35to64	Age_65plus	Auto_0_Car	Auto_1_Car	Auto_2_Car	Auto_3_Car	Auto_4Plus_Car	Edu_No_High_School	Edu_High_School	Edu_Associate	Edu_Bachelors	Edu_Graduate	Lang_No_Eng	Lang_Eng_Not_Well	Lang_Eng_Well	Lang_Eng_Very_Well	Lang_Eng_Only	Pov_Above	Pov_Below	Inc_Below_25	Inc_25To50	Inc_50To100	Inc_Above_100	Inc_HH_Median	H_Owner	H_Renter	Mot_Carpool	Mot_Drove_Alone	Mot_Other	Mot_Pedbike	Mot_Telework	Mot_Transit	Ttw_Below_5	Ttw_5To15	Ttw_15To30	Ttw_30To60	Ttw_60Plus	Pov_Rate	Unemp_Rate	Med_Hu_val	M_Travtime	tp_1980	tp_1990	tp_2000	tp_2010	County_Website
1	Brazoria	48039	1486.171267	345995	117088	130392	169835	44790	102715	21494	7161	24699	68114	77035	137791	38356	3778	31279	53729	19966	8336	27944	57147	72588	42804	23927	3478	9257	12739	57918	237904	104973	12115	17482	20333	36759	42514	76426	84216	32872	14331	138553	1393	1428	4545	246	3573	30179	46269	58135	17795	9.9	4.9	164300	29.8	169626	191707	240088	313166	https://datalab.h-gac.com/reference/censusacs2017/county_039/mapapp_county_039.html
2	Walker	48471	801.7695996	70818	21294	25465	40319	16198	12584	859	858	3120	7772	24125	27328	8473	962	8368	8099	2712	1153	7560	17216	11904	6546	2770	362	1334	2186	7284	56532	16067	5227	6798	5519	5965	3012	41456	11241	10053	2041	19538	344	972	900	30	502	4844	9841	5871	1867	24.3	3.3	132200	25.8	41789	50913	61340	67861	https://datalab.h-gac.com/reference/censusacs2017/county_471/mapapp_county_471.html
3	Harris	48201	1777.155791	4525519	1562813	1714340	1386576	838285	1910535	307109	83014	349782	875277	1168751	1698980	432729	97092	566545	606400	210018	82758	557598	668154	764871	559393	314848	187686	303615	360241	975010	2349185	1329992	232821	322975	357372	452938	429528	57791	855629	707184	232327	1698413	32889	40138	79181	57933	30503	347758	709835	766707	206897	16.8	6.4	154100	28.9	2408806	2816251	3364631	4092459	https://datalab.h-gac.com/reference/censusacs2017/county_201/mapapp_county_201.html
4	Montgomery	48339	1076.894733	535187	186861	203904	363190	23915	122934	14823	10325	36648	105991	112037	214548	65963	6489	53408	82376	31854	12734	43176	83779	103723	77686	39677	3858	18429	16708	65946	393598	169120	17741	27469	35174	55318	68900	74323	133082	53779	22388	201477	2493	2803	13394	2938	3298	40026	70194	79753	38828	10.3	4.9	206400	32.7	128558	182176	292480	455746	https://datalab.h-gac.com/reference/censusacs2017/county_339/mapapp_county_339.html
5	Colorado	48089	973.4494577	20913	7603	10626	11918	2727	6045	14	209	1305	3588	3784	8061	4175	376	2082	3465	1091	589	2550	5189	3786	2137	551	184	769	489	3186	14980	6600	1003	1805	1972	2276	1550	50241	6240	1363	752	8063	27	123	330	101	491	3574	2761	1751	489	12	2.9	116700	20.5	18823	18383	20191	20874	https://datalab.h-gac.com/reference/censusacs2017/county_089/mapapp_county_089.html
7	Liberty	48291	1176.271888	79884	25974	30274	52576	7972	17488	454	1394	5518	14836	18594	30716	10220	1538	8898	9821	3793	1924	11968	20780	14582	3474	1391	653	2267	2550	8570	60326	21727	4247	6513	6737	7969	4755	48344	19440	6534	1815	24925	252	369	606	78	892	5612	4426	9910	6599	16.2	7.8	93200	36.9	47097	52747	69575	75643	https://datalab.h-gac.com/reference/censusacs2017/county_291/mapapp_county_291.html
8	Wharton	48481	1094.078372	41430	15224	17444	18756	5725	16682	38	229	2829	7988	8771	15239	6603	997	5024	5846	2491	866	5662	8726	8419	2560	1463	485	1379	1502	6134	29101	12826	2398	4069	3511	4681	2963	50145	10269	4955	2161	15545	33	111	503	69	1171	7022	4634	3257	1835	17.5	5.3	115700	23	40244	39918	40776	41280	https://datalab.h-gac.com/reference/censusacs2017/county_481/mapapp_county_481.html
9	Waller	48473	517.7519626	48443	14698	16521	20853	12041	14230	351	968	3247	8487	15595	15595	5519	595	3771	6102	2870	1360	5658	8069	7360	3477	1544	1053	2018	2755	5960	33410	12226	2472	3295	3658	4282	3463	53506	10084	4614	2297	16769	250	867	941	185	1123	4522	5229	6246	3248	18	7.8	157600	30	19791	23324	32474	43205	https://datalab.h-gac.com/reference/censusacs2017/county_473/mapapp_county_473.html
10	Galveston	48167	475.4550136	321184	117455	142115	186380	40304	76806	10650	7044	20839	58244	70640	129205	42256	7097	37206	48275	17663	7214	25753	53959	71255	41264	21827	3200	7530	9568	40032	240015	102063	15392	23303	23109	31984	39059	65702	77873	39582	15358	118400	1975	3777	5410	1362	3551	32478	48166	40933	15744	13.9	6.5	171600	28	195663	217417	244157	291309	https://datalab.h-gac.com/reference/censusacs2017/county_167/mapapp_county_167.html
11	Chambers	48071	630.9661755	39283	13320	14915	26720	3154	8396	506	507	2743	8250	8487	15610	4193	507	3539	5331	2723	1220	3523	7483	8749	3492	1610	186	1527	1436	3487	29904	11699	1621	2384	2527	3302	5107	74368	11023	2297	1099	14696	215	150	347	30	753	2522	5560	5668	1687	12.9	6.5	171500	27.8	18529	20172	25496	35096	https://datalab.h-gac.com/reference/censusacs2017/county_071/mapapp_county_071.html
12	Austin	48015	656.2681609	29292	11021	13132	18533	2601	7598	58	502	1785	5295	5364	11567	5281	393	3193	4079	2114	1242	3541	5940	6009	3075	1368	465	950	1005	3136	21951	9627	1394	2442	2192	3216	3171	62614	8175	2846	1403	10834	173	253	610	8	719	2945	3715	2947	2345	13.4	5.4	175200	31.1	17732	19840	22901	28417	https://datalab.h-gac.com/reference/censusacs2017/county_015/mapapp_county_015.html
13	Fort Bend	48157	885.1122813	711421	222331	233699	244432	143866	171949	136748	14426	49857	148999	147704	295812	69049	5301	48808	109280	42647	16295	46565	77798	121619	129438	77697	10972	25655	49080	168081	407776	205931	16400	22857	32276	62635	104563	93645	173534	48797	32283	273398	4076	2112	16369	5194	3567	39704	88473	145917	39402	8.1	5.3	233300	33	130842	225856	353504	585375	https://datalab.h-gac.com/reference/censusacs2017/county_157/mapapp_county_157.html
