name,FIPS,tp_1980,per_sqmile_80,tp_1990,per_sqmile_90,tp_2000,per_sqmile_00,tp_2010,per_sqmile_10,tp_2016,per_sqmile_16,Area_SqMi
Austin,FIPS_48015,17732,27.02,19840,30.23,22901,34.90,28417,43.30,29107,44.35,656.2681609
Brazoria,FIPS_48039,169626,114.13,191707,128.99,240088,161.55,313166,210.7199937,338419,227.71,1486.171267
Chambers,FIPS_48071,18529,29.37,20172,31.97,25496,40.41,35096,55.62,38072,60.34,630.9661755
Colorado,FIPS_48089,18823,19.34,18383,18.88,20191,20.74,20874,21.44,20792,21.36,973.4494577
Fort Bend,FIPS_48157,130842,147.83,225856,255.17,353504,399.39,585375,661.36,683756,772.51,885.1122813
Galveston,FIPS_48167,195663,411.53,217417,457.28,244157,513.52,291309,612.70,314485,661.44,475.4550136
Harris,FIPS_48201,2408806,1355.43,2816251,1584.70,3364631,1893.27,4092459,2302.81,4434257,2495.14,1777.155791
Liberty,FIPS_48291,47097,40.04,52747,44.84,69575,59.15,75643,64.31,78598,66.82,1176.271888
Matagorda,FIPS_48321,37831,31.21,36926,30.47,37574,31.00,36702,30.28,36719,30.30,1211.981258
Montgomery,FIPS_48339,128558,119.38,182176,169.17,292480,271.60,455746,423.20,518849,481.80,1076.894733
Walker,FIPS_48471,41789,52.12,50913,63.50,61340,76.51,67861,84.64,69926,87.21,801.7695996
Waller,FIPS_48473,19791,38.22,23324,45.05,32474,62.72,43205,83.45,47049,90.87,517.7519626
Wharton,FIPS_48481,40244,36.78,39918,36.49,40776,37.27,41280,37.73,41377,37.82,1094.078372
